School Name,Tier_x,Overall_Score,Tier_y,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points,Drop-Out Rate,ELA Achievement Gap,ELA Growth,ELA Growth - High-Performing Students,ELA Growth - Low-Performing Students,ELA Growth - Subgroups,English Learner Growth,Graduate in 4 Years,Graduate in 5 Years,Math Achievement Gap,Math Growth,Math Growth - High-Performing Students,Math Growth - Low-Performing Students,Math Growth - Subgroups,School Meets ELA MCAS Goals,School Meets ELA MCAS Goals - Subgroups,School Meets Math MCAS Goals,School Meets Math MCAS Goals - Subgroups,School Meets Science MCAS Goals,Students Set Goals and Persist,Students in College after Graduation,College and Career Readiness,Rigorous Curriculum,School has Effective Leadership,Teacher Effectiveness,Leadership Engages the Community,Leadership Supports Teachers,Rate of Returning Teachers,Staff Collaboration and Community,Challenging Academic Environment,Chronic Absenteeism,Family Engagement,Inclusive of Families and Community,Safety,Staff Diversity,Student Engagement and Enthusiasm,Suspensions,Welcomed and Involved Families
Manassah E. Bradley Elementary School,1.0,87,1.0,87.0,66.0,8.1,6.3,7.0,,75.0,75.0,75.0,75.0,87.5,75.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,75.0,,,75.0,100.0,75.0,100.0,100.0,87.5,87.5,75.0,100.0,100.0,75.0,87.5,50.0,75.0,,87.5
Nathan Hale Elementary School,1.0,81,1.0,81.0,59.2,8.9,5.9,6.8,,,75.0,100.0,,50.0,,,,75.0,100.0,75.0,,100.0,100.0,50.0,100.0,100.0,,75.0,,,75.0,87.5,75.0,87.5,87.5,100.0,87.5,75.0,100.0,100.0,83.3,93.8,100.0,75.0,,81.3
New Mission High School,1.0,73,1.0,73.0,54.4,7.4,5.4,5.6,75.0,,80.8,75.0,75.0,78.9,100.0,100.0,90.0,,100.0,100.0,61.7,100.0,38.3,38.3,11.7,8.8,76.7,75.0,,50.0,75.0,100.0,62.5,75.0,75.0,75.0,75.0,75.0,100.0,100.0,70.8,68.8,75.0,62.5,37.5,75.0
Michael J. Perkins Elementary School,1.0,73,1.0,73.0,58.1,6.3,5.0,3.5,,,50.0,,,,,,,,50.0,,,,100.0,100.0,100.0,100.0,,75.0,,,75.0,50.0,75.0,37.5,37.5,75.0,37.5,75.0,,87.5,79.2,62.5,31.3,87.5,,81.3
Mary Lyon K-8 School,1.0,68,1.0,68.0,50.6,6.9,5.3,4.7,,100.0,75.0,,,,,,,,75.0,,,,50.0,,75.0,,100.0,50.0,,,75.0,62.5,75.0,62.5,62.5,62.5,62.5,75.0,100.0,62.5,75.0,68.8,37.5,62.5,62.5,81.3
Mather Elementary School,2.0,65,2.0,65.0,46.8,8.3,5.0,4.9,,,50.0,50.0,50.0,75.0,75.0,,,100.0,75.0,75.0,75.0,62.5,,16.7,100.0,66.7,100.0,75.0,,,75.0,50.0,75.0,62.5,62.5,75.0,62.5,75.0,100.0,87.5,75.0,62.5,100.0,75.0,,87.5
Maurice J. Tobin K-8 School,2.0,64,2.0,64.0,48.2,7.4,4.1,4.2,,,75.0,75.0,50.0,62.5,100.0,,,,75.0,,50.0,62.5,50.0,50.0,100.0,50.0,50.0,50.0,,,62.5,50.0,50.0,50.0,50.0,62.5,62.5,62.5,100.0,100.0,66.7,56.3,87.5,50.0,62.5,81.3
Mattahunt Elementary School,2.0,64,2.0,64.0,43.6,8.0,5.9,6.3,,,50.0,25.0,100.0,75.0,50.0,,,,50.0,50.0,50.0,62.5,50.0,37.5,50.0,50.0,100.0,75.0,,,75.0,87.5,75.0,87.5,87.5,75.0,87.5,75.0,100.0,100.0,70.8,62.5,75.0,75.0,,81.3
Mario Umana Academy,2.0,60,2.0,60.0,44.4,6.0,4.4,4.9,,,75.0,,50.0,75.0,25.0,,,,75.0,,75.0,75.0,,50.0,50.0,50.0,50.0,50.0,,,50.0,75.0,50.0,62.5,75.0,50.0,75.0,50.0,25.0,100.0,75.0,62.5,50.0,50.0,37.5,87.5
Muriel S. Snowden International School at Copley,3.0,54,3.0,54.0,39.9,6.1,4.0,4.0,,,75.0,,75.0,75.0,50.0,75.0,50.0,,75.0,,50.0,87.5,,25.0,,,50.0,50.0,50.0,50.0,50.0,62.5,50.0,50.0,50.0,75.0,37.5,50.0,100.0,100.0,58.3,56.3,62.5,50.0,12.5,62.5
Mildred Avenue K-8 School,3.0,50,3.0,50.0,31.4,7.6,5.6,5.2,,,50.0,25.0,50.0,50.0,100.0,,,,50.0,25.0,50.0,50.0,,,50.0,50.0,,62.5,,,75.0,75.0,75.0,75.0,75.0,75.0,50.0,75.0,100.0,87.5,75.0,50.0,100.0,75.0,62.5,62.5
Madison Park Technical Vocational High School,4.0,45,4.0,45.0,31.5,5.9,3.8,3.5,,,50.0,,50.0,50.0,25.0,29.2,70.0,,50.0,,25.0,58.3,50.0,50.0,50.0,25.0,75.0,25.0,,50.0,50.0,50.0,50.0,25.0,50.0,62.5,50.0,50.0,100.0,87.5,37.5,37.5,100.0,25.0,50.0,43.8
"Martin Luther King, Jr. Elementary School",4.0,43,4.0,43.0,27.0,7.3,5.0,3.8,,,50.0,,50.0,33.3,75.0,,,,50.0,,50.0,33.3,,,,,,75.0,,,75.0,50.0,75.0,37.5,50.0,75.0,37.5,75.0,100.0,75.0,54.2,56.3,100.0,75.0,,50.0
Margarita Muniz Academy,4.0,34,4.0,34.0,16.9,6.3,5.4,5.6,50.0,,25.0,,,25.0,75.0,81.3,60.0,,,,,,,,,,,62.5,,75.0,75.0,62.5,75.0,75.0,75.0,75.0,75.0,75.0,50.0,100.0,70.8,62.5,50.0,62.5,25.0,75.0
Mel H. King South End Academy,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Lyon Pilot High School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel H. King Prep,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel H. King Middle,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel H. King Elementary,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Academy,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Hazard Perry Elementary School,1.0,91,1.0,91.0,69.7,8.2,6.3,6.6,,,100.0,,,100.0,,,,,100.0,75.0,,100.0,100.0,50.0,100.0,100.0,,100.0,,,75.0,100.0,75.0,100.0,100.0,50.0,100.0,75.0,50.0,100.0,87.5,100.0,43.8,100.0,,100.0
Phineas Bates Elementary School,1.0,86,1.0,86.0,67.4,7.9,5.0,5.4,,75.0,100.0,100.0,,100.0,100.0,,,100.0,75.0,100.0,,100.0,100.0,83.3,100.0,66.7,50.0,62.5,,,75.0,62.5,62.5,62.5,62.5,75.0,87.5,75.0,100.0,100.0,83.3,68.8,50.0,62.5,,93.8
Oliver W. Holmes Elementary School,1.0,82,1.0,82.0,64.1,7.4,5.6,4.9,,,100.0,,100.0,100.0,50.0,,,,75.0,,75.0,62.5,100.0,100.0,100.0,75.0,100.0,75.0,,,75.0,75.0,75.0,62.5,62.5,62.5,75.0,75.0,100.0,75.0,75.0,62.5,56.3,75.0,,75.0
Orchard Gardens K-8 School,1.0,77,1.0,77.0,62.5,6.3,4.4,3.8,,,100.0,100.0,75.0,100.0,50.0,,,,75.0,,75.0,75.0,100.0,100.0,100.0,87.5,50.0,62.5,,,62.5,62.5,50.0,37.5,50.0,62.5,50.0,62.5,50.0,100.0,66.7,50.0,62.5,62.5,37.5,75.0
Philbrick-Sumner Elementary School,1.0,66,1.0,66.0,48.8,7.1,5.3,4.7,,100.0,75.0,75.0,25.0,62.5,50.0,,,100.0,75.0,75.0,50.0,62.5,50.0,16.7,100.0,33.3,100.0,75.0,,,75.0,62.5,75.0,62.5,62.5,50.0,75.0,75.0,40.8,93.8,66.7,68.8,87.5,75.0,,75.0
Samuel Adams Elementary School,1.0,66,1.0,66.0,47.4,7.4,5.9,5.2,,100.0,100.0,,,100.0,50.0,,,100.0,50.0,,,50.0,50.0,50.0,,,,75.0,,,75.0,87.5,75.0,62.5,62.5,75.0,75.0,75.0,50.0,100.0,83.3,75.0,43.8,75.0,,87.5
Sarah Greenwood K-8 School,2.0,61,2.0,61.0,42.4,6.8,5.6,6.1,,,50.0,,50.0,37.5,75.0,,,,100.0,,75.0,100.0,,,50.0,50.0,,75.0,,,62.5,87.5,75.0,100.0,75.0,75.0,75.0,62.5,100.0,87.5,70.8,68.8,50.0,75.0,25.0,75.0
Ruth Batson Academy,2.0,61,2.0,61.0,45.9,7.0,4.5,4.0,,,89.1,,,89.1,75.0,60.0,70.0,,75.0,,,69.6,50.0,30.4,100.0,69.6,,62.5,,50.0,62.5,62.5,62.5,50.0,50.0,62.5,50.0,62.5,100.0,100.0,70.8,50.0,100.0,62.5,12.5,68.8
Thomas A. Edison Elementary School,2.0,61,2.0,61.0,44.1,7.2,5.0,4.5,,75.0,75.0,25.0,50.0,56.3,50.0,,,75.0,75.0,75.0,75.0,75.0,,,50.0,31.3,100.0,75.0,,,62.5,62.5,75.0,50.0,50.0,75.0,62.5,62.5,100.0,87.5,66.7,68.8,50.0,75.0,,68.8
The English High School,2.0,59,2.0,59.0,39.6,7.2,5.4,6.3,,,50.0,,,56.5,75.0,70.0,70.0,,71.7,,,82.6,43.5,25.0,50.0,48.4,,50.0,50.0,50.0,75.0,87.5,75.0,100.0,100.0,62.5,75.0,75.0,100.0,100.0,66.7,62.5,68.8,75.0,25.0,75.0
Patrick F. Lyndon K-8 Pilot School,2.0,58,2.0,58.0,42.4,7.1,5.0,3.8,,100.0,75.0,75.0,50.0,62.5,50.0,,,100.0,50.0,75.0,50.0,43.8,,33.3,50.0,41.7,,75.0,,,75.0,50.0,75.0,37.5,37.5,75.0,50.0,75.0,100.0,87.5,75.0,75.0,43.8,75.0,25.0,81.3
Richard J. Murphy K-8 School,2.0,57,2.0,57.0,41.7,6.8,4.1,4.5,,,75.0,75.0,75.0,75.0,75.0,,,,50.0,50.0,75.0,45.0,50.0,25.0,50.0,25.0,50.0,75.0,,,50.0,62.5,50.0,50.0,50.0,87.5,50.0,50.0,100.0,100.0,66.7,50.0,68.8,75.0,37.5,62.5
TechBoston Academy,2.0,56,2.0,56.0,38.8,6.6,4.9,5.9,100.0,,75.0,,50.0,63.6,75.0,60.0,75.0,,50.0,,31.8,52.3,72.9,54.7,13.6,19.3,,75.0,,50.0,75.0,62.5,75.0,87.5,87.5,75.0,62.5,75.0,100.0,100.0,45.8,56.3,81.3,75.0,25.0,31.3
Shaw-Taylor Elementary School,3.0,55,3.0,55.0,38.1,7.8,5.0,3.8,,,50.0,,,75.0,75.0,,,,50.0,,,50.0,25.0,50.0,,37.5,50.0,75.0,,,75.0,50.0,75.0,50.0,50.0,37.5,62.5,75.0,100.0,87.5,70.8,50.0,68.8,100.0,,68.8
Rafael Hernandez Elementary School,3.0,53,3.0,53.0,37.9,6.9,4.4,4.0,,,50.0,50.0,75.0,50.0,50.0,,,,50.0,25.0,75.0,50.0,,,100.0,100.0,,62.5,,,50.0,75.0,50.0,50.0,50.0,62.5,50.0,50.0,100.0,100.0,75.0,43.8,50.0,62.5,62.5,81.3
Patrick J. Kennedy Elementary School,3.0,52,3.0,52.0,30.8,8.3,5.9,7.0,,,75.0,,50.0,75.0,75.0,,,,25.0,,50.0,25.0,25.0,,,,,75.0,,,75.0,87.5,75.0,100.0,100.0,100.0,75.0,75.0,100.0,100.0,75.0,75.0,50.0,100.0,,87.5
Roger Clap Innovation School,3.0,49,3.0,49.0,30.2,7.8,5.6,5.9,,,75.0,,,,,,,75.0,25.0,,,,,,,,,62.5,,,75.0,75.0,75.0,100.0,100.0,50.0,62.5,75.0,100.0,100.0,79.2,50.0,62.5,75.0,,81.3
Samuel W. Mason Elementary School,3.0,45,3.0,45.0,28.1,7.0,5.6,4.7,,,25.0,,25.0,,,,,,50.0,,50.0,,,,100.0,50.0,,75.0,,,75.0,75.0,75.0,75.0,62.5,50.0,62.5,75.0,50.0,100.0,68.8,56.3,56.3,75.0,,75.0
