Outcome,Metric,School Name,Score
Sense of Inclusion,Staff Diversity,Curtis Guild Elementary School,18.8
Sense of Inclusion,Staff Diversity,Boston Collaborative High School,-
Sense of Inclusion,Staff Diversity,Boston International High School,-
Sense of Inclusion,Staff Diversity,Community Academy,-
Sense of Inclusion,Staff Diversity,Boston Day and Evening Academy,-
Sense of Inclusion,Staff Diversity,Brighton High School,-
Sense of Inclusion,Staff Diversity,Boston Adult Technical Academy,-
Sense of Inclusion,Staff Diversity,Curley K-8 School,50
Sense of Inclusion,Staff Diversity,Boston Latin School,50
Sense of Inclusion,Staff Diversity,Beethoven/Ohrenberger,50
Sense of Inclusion,Staff Diversity,Dante Alighieri Elementary Montessori School,50
Sense of Inclusion,Staff Diversity,Community Academy of Science and Health,100
Sense of Inclusion,Staff Diversity,Boston Arts Academy,100
Sense of Inclusion,Staff Diversity,Boston Teachers Union K-8 Pilot School,100
Sense of Inclusion,Staff Diversity,Another Course to College,100
Sense of Inclusion,Staff Diversity,Boston Green Academy,62.5
Sense of Inclusion,Staff Diversity,Albert D Holland School of Technology,75
Sense of Inclusion,Staff Diversity,Boston Latin Academy,68.8
Sense of Inclusion,Staff Diversity,Charlestown High School,56.3
Engaged Students,Chronic Absenteeism,Charlestown High School,31.7
Engaged Students,Chronic Absenteeism,Boston Green Academy,67.3
Engaged Students,Chronic Absenteeism,Albert D Holland School of Technology,12.5
Engaged Students,Chronic Absenteeism,Boston Day and Evening Academy,-
Engaged Students,Chronic Absenteeism,Boston Latin Academy,-
Engaged Students,Chronic Absenteeism,Boston Teachers Union K-8 Pilot School,-
Engaged Students,Chronic Absenteeism,Boston International High School,-
Engaged Students,Chronic Absenteeism,Boston Adult Technical Academy,-
Engaged Students,Chronic Absenteeism,Community Academy,-
Engaged Students,Chronic Absenteeism,Boston Collaborative High School,-
Engaged Students,Chronic Absenteeism,Brighton High School,-
Engaged Students,Chronic Absenteeism,Boston Arts Academy,100
Engaged Students,Chronic Absenteeism,Dante Alighieri Elementary Montessori School,100
Engaged Students,Chronic Absenteeism,Curley K-8 School,100
Engaged Students,Chronic Absenteeism,Community Academy of Science and Health,100
Engaged Students,Chronic Absenteeism,Beethoven/Ohrenberger,100
Engaged Students,Chronic Absenteeism,Curtis Guild Elementary School,100
Engaged Students,Chronic Absenteeism,Another Course to College,75
Engaged Students,Chronic Absenteeism,Boston Latin School,66.7
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Community Academy,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Collaborative High School,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Brighton High School,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Adult Technical Academy,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Day and Evening Academy,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston International High School,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Curtis Guild Elementary School,100
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Latin Academy,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Green Academy,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Albert D Holland School of Technology,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Latin School,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Another Course to College,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Beethoven/Ohrenberger,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Arts Academy,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Curley K-8 School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Boston Teachers Union K-8 Pilot School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Dante Alighieri Elementary Montessori School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Community Academy of Science and Health,68.8
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Charlestown High School,56.3
Sense of Inclusion,Inclusive of Families and Community,Boston Green Academy,54.2
Sense of Inclusion,Inclusive of Families and Community,Boston Arts Academy,70.8
Sense of Inclusion,Inclusive of Families and Community,Curley K-8 School,70.8
Sense of Inclusion,Inclusive of Families and Community,Charlestown High School,54.2
Sense of Inclusion,Inclusive of Families and Community,Dante Alighieri Elementary Montessori School,91.7
Sense of Inclusion,Inclusive of Families and Community,Community Academy,-
Sense of Inclusion,Inclusive of Families and Community,Brighton High School,-
Sense of Inclusion,Inclusive of Families and Community,Boston Collaborative High School,-
Sense of Inclusion,Inclusive of Families and Community,Boston Adult Technical Academy,-
Sense of Inclusion,Inclusive of Families and Community,Boston Day and Evening Academy,-
Sense of Inclusion,Inclusive of Families and Community,Boston International High School,-
Sense of Inclusion,Inclusive of Families and Community,Boston Teachers Union K-8 Pilot School,62.5
Sense of Inclusion,Inclusive of Families and Community,Boston Latin Academy,62.5
Sense of Inclusion,Inclusive of Families and Community,Beethoven/Ohrenberger,75
Sense of Inclusion,Inclusive of Families and Community,Curtis Guild Elementary School,87.5
Sense of Inclusion,Inclusive of Families and Community,Another Course to College,58.3
Sense of Inclusion,Inclusive of Families and Community,Albert D Holland School of Technology,58.3
Sense of Inclusion,Inclusive of Families and Community,Community Academy of Science and Health,58.3
Sense of Inclusion,Inclusive of Families and Community,Boston Latin School,66.7
Culture of High Achievement,Challenging Academic Environment,Boston Adult Technical Academy,-
Culture of High Achievement,Challenging Academic Environment,Boston Day and Evening Academy,-
Culture of High Achievement,Challenging Academic Environment,Brighton High School,-
Culture of High Achievement,Challenging Academic Environment,Community Academy,-
Culture of High Achievement,Challenging Academic Environment,Boston Collaborative High School,-
Culture of High Achievement,Challenging Academic Environment,Boston International High School,-
