School Name,Tier,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points
UP Academy Charter School of Dorchester,1,76,65.6,4.9,3.8,1.6
Warren-Prescott K-8 School,1,71,50.5,7.7,5.6,7.5
William Monroe Trotter Elementary School,2,64,45.5,6.9,5.9,5.4
Wolfgang Amadeus Mozart Elementary School,2,61,43.4,7.3,5.3,5.4
UP Academy Holland,2,58,45.9,5,4.4,3
Young Achievers School of Science & Math,2,56,44.4,5.4,3.1,2.6
William Blackstone Elementary School,3,47,33.1,6.5,4.4,3.3
Thomas J. Kenny Elementary School,3,46,29.7,7.9,3.8,4.2
William E. Russell Elementary School,4,42,25.7,7.9,5,3.5
William Ellery Channing Elementary School,4,40,22.2,7.4,5.9,4.5
William E. Carter School,n/a,null,null,null,null,null
