Outcome,Metric,School Name,Score
Vision,Leadership Engages the Community,Horace Mann School for the Deaf & Hard of Hearing,-
Vision,Leadership Engages the Community,James F. Condon K-8 School,25
Vision,Leadership Engages the Community,Joseph P. Manning Elementary School,25
Vision,Leadership Engages the Community,John F. Kennedy Elementary School,50
Vision,Leadership Engages the Community,Harvard-Kent Elementary School,50
Vision,Leadership Engages the Community,James J. Chittick Elementary School,100
Vision,Leadership Engages the Community,Josiah Quincy Elementary School,100
Vision,Leadership Engages the Community,John Eliot K-8 School,100
Vision,Leadership Engages the Community,Joseph J. Hurley K-8 School,100
Vision,Leadership Engages the Community,Higginson (K-2) / Higginson/Lewis K-8,100
Vision,Leadership Engages the Community,Joseph P. Tynan Elementary School,100
Vision,Leadership Engages the Community,James Otis Elementary School,100
Vision,Leadership Engages the Community,Josiah Quincy Upper School,62.5
Vision,Leadership Engages the Community,James W. Hennigan Elementary School,62.5
Vision,Leadership Engages the Community,Hugh R. O'Donnell Elementary School,37.5
Vision,Leadership Engages the Community,Joseph Lee K-8 School,37.5
Vision,Leadership Engages the Community,John D. O'Bryant School of Mathematics and Science,37.5
Vision,Leadership Engages the Community,Henry Grew Elementary School,75
Vision,Leadership Engages the Community,John Winthrop Elementary School,87.5
Vision,Leadership Engages the Community,Joyce Kilmer K-8 School,87.5
Collaborative Culture,Staff Collaboration and Community,Horace Mann School for the Deaf & Hard of Hearing,-
Collaborative Culture,Staff Collaboration and Community,James F. Condon K-8 School,25
Collaborative Culture,Staff Collaboration and Community,Joseph P. Manning Elementary School,50
Collaborative Culture,Staff Collaboration and Community,John D. O'Bryant School of Mathematics and Science,50
Collaborative Culture,Staff Collaboration and Community,James Otis Elementary School,100
Collaborative Culture,Staff Collaboration and Community,John Eliot K-8 School,100
Collaborative Culture,Staff Collaboration and Community,James W. Hennigan Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Harvard-Kent Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Hugh R. O'Donnell Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Josiah Quincy Upper School,62.5
Collaborative Culture,Staff Collaboration and Community,Joseph Lee K-8 School,37.5
Collaborative Culture,Staff Collaboration and Community,Higginson (K-2) / Higginson/Lewis K-8,75
Collaborative Culture,Staff Collaboration and Community,Joseph J. Hurley K-8 School,75
Collaborative Culture,Staff Collaboration and Community,Joseph P. Tynan Elementary School,75
Collaborative Culture,Staff Collaboration and Community,John F. Kennedy Elementary School,75
Collaborative Culture,Staff Collaboration and Community,John Winthrop Elementary School,75
Collaborative Culture,Staff Collaboration and Community,Henry Grew Elementary School,75
Collaborative Culture,Staff Collaboration and Community,James J. Chittick Elementary School,87.5
Collaborative Culture,Staff Collaboration and Community,Joyce Kilmer K-8 School,87.5
Collaborative Culture,Staff Collaboration and Community,Josiah Quincy Elementary School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Horace Mann School for the Deaf & Hard of Hearing,-
Leveraging Effective Teachers,Leadership Supports Teachers,James F. Condon K-8 School,25
Leveraging Effective Teachers,Leadership Supports Teachers,Joseph P. Manning Elementary School,25
Leveraging Effective Teachers,Leadership Supports Teachers,Harvard-Kent Elementary School,50
Leveraging Effective Teachers,Leadership Supports Teachers,James J. Chittick Elementary School,100
Leveraging Effective Teachers,Leadership Supports Teachers,John Eliot K-8 School,100
Leveraging Effective Teachers,Leadership Supports Teachers,Joseph P. Tynan Elementary School,100
Leveraging Effective Teachers,Leadership Supports Teachers,Higginson (K-2) / Higginson/Lewis K-8,100
Leveraging Effective Teachers,Leadership Supports Teachers,James Otis Elementary School,100
Leveraging Effective Teachers,Leadership Supports Teachers,John F. Kennedy Elementary School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Josiah Quincy Upper School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,James W. Hennigan Elementary School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Joseph Lee K-8 School,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,John D. O'Bryant School of Mathematics and Science,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,Hugh R. O'Donnell Elementary School,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,Joyce Kilmer K-8 School,75
Leveraging Effective Teachers,Leadership Supports Teachers,John Winthrop Elementary School,75
Leveraging Effective Teachers,Leadership Supports Teachers,Henry Grew Elementary School,75
Leveraging Effective Teachers,Leadership Supports Teachers,Joseph J. Hurley K-8 School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Josiah Quincy Elementary School,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Horace Mann School for the Deaf & Hard of Hearing,-
Leveraging Effective Teachers,Rate of Returning Teachers,Joseph Lee K-8 School,50
Leveraging Effective Teachers,Rate of Returning Teachers,James F. Condon K-8 School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Josiah Quincy Upper School,100
Leveraging Effective Teachers,Rate of Returning Teachers,John Eliot K-8 School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,James W. Hennigan Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Henry Grew Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,John F. Kennedy Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,James J. Chittick Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Hugh R. O'Donnell Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,John D. O'Bryant School of Mathematics and Science,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,John Winthrop Elementary School,37.5
Leveraging Effective Teachers,Rate of Returning Teachers,James Otis Elementary School,75
Leveraging Effective Teachers,Rate of Returning Teachers,Joseph P. Manning Elementary School,75
Leveraging Effective Teachers,Rate of Returning Teachers,Joyce Kilmer K-8 School,75
