School Name,Tier,Overall_Score
Dante Alighieri Elementary Montessori School,1,94
Curtis Guild Elementary School,1,89
Curley K-8 School,1,70
Boston Latin School,1,66
Beethoven/Ohrenberger,2,55
Boston Arts Academy,3,53
Albert D Holland School of Technology,3,52
Boston Green Academy,3,52
Boston Latin Academy,3,50
Community Academy of Science and Health,3,47
Charlestown High School,3,47
Another Course to College,4,42
Boston Teachers Union K-8 Pilot School,4,40
Community Academy,n/a,-
Boston Collaborative High School,n/a,-
Boston Adult Technical Academy,n/a,-
Brighton High School,n/a,-
Boston Day and Evening Academy,n/a,-
Boston International High School,n/a,-
