School Name,Tier,Overall_Score
James J. Chittick Elementary School,1,89
James Otis Elementary School,1,86
John Winthrop Elementary School,1,84
Higginson (K-2) / Higginson/Lewis K-8,1,74
Joseph P. Tynan Elementary School,1,73
Hugh R. O'Donnell Elementary School,1,73
Josiah Quincy Elementary School,1,69
John Eliot K-8 School,1,69
John F. Kennedy Elementary School,1,69
Joseph J. Hurley K-8 School,1,67
John D. O'Bryant School of Mathematics and Science,2,64
James W. Hennigan Elementary School,2,59
Joseph P. Manning Elementary School,2,56
Joseph Lee K-8 School,2,55
Joyce Kilmer K-8 School,3,52
Harvard-Kent Elementary School,3,51
James F. Condon K-8 School,3,49
Josiah Quincy Upper School,3,48
Henry Grew Elementary School,4,40
Horace Mann School for the Deaf & Hard of Hearing,n/a,-
