Outcome,Metric,School Name,Score
Quality Teachers,Teacher Effectiveness,Mary Lyon Pilot High School,-
Quality Teachers,Teacher Effectiveness,Mel H. King South End Academy,-
Quality Teachers,Teacher Effectiveness,Mel H. King Middle,-
Quality Teachers,Teacher Effectiveness,Mel H. King Elementary,-
Quality Teachers,Teacher Effectiveness,Lee Academy,-
Quality Teachers,Teacher Effectiveness,Mel H. King Prep,-
Quality Teachers,Teacher Effectiveness,Mario Umana Academy,50
Quality Teachers,Teacher Effectiveness,Muriel S. Snowden International School at Copley,50
Quality Teachers,Teacher Effectiveness,Madison Park Technical Vocational High School,50
Quality Teachers,Teacher Effectiveness,Maurice J. Tobin K-8 School,50
Quality Teachers,Teacher Effectiveness,New Mission High School,62.5
Quality Teachers,Teacher Effectiveness,Manassah E. Bradley Elementary School,75
Quality Teachers,Teacher Effectiveness,Mary Lyon K-8 School,75
Quality Teachers,Teacher Effectiveness,"Martin Luther King, Jr. Elementary School",75
Quality Teachers,Teacher Effectiveness,Mildred Avenue K-8 School,75
Quality Teachers,Teacher Effectiveness,Mattahunt Elementary School,75
Quality Teachers,Teacher Effectiveness,Margarita Muniz Academy,75
Quality Teachers,Teacher Effectiveness,Mather Elementary School,75
Quality Teachers,Teacher Effectiveness,Michael J. Perkins Elementary School,75
Quality Teachers,Teacher Effectiveness,Nathan Hale Elementary School,75
Effective Leadership,School has Effective Leadership,Lee Academy,-
Effective Leadership,School has Effective Leadership,Mel H. King Prep,-
Effective Leadership,School has Effective Leadership,Mary Lyon Pilot High School,-
Effective Leadership,School has Effective Leadership,Mel H. King Elementary,-
Effective Leadership,School has Effective Leadership,Mel H. King South End Academy,-
Effective Leadership,School has Effective Leadership,Mel H. King Middle,-
Effective Leadership,School has Effective Leadership,Madison Park Technical Vocational High School,50
Effective Leadership,School has Effective Leadership,Maurice J. Tobin K-8 School,50
Effective Leadership,School has Effective Leadership,Michael J. Perkins Elementary School,50
Effective Leadership,School has Effective Leadership,"Martin Luther King, Jr. Elementary School",50
Effective Leadership,School has Effective Leadership,Mather Elementary School,50
Effective Leadership,School has Effective Leadership,Manassah E. Bradley Elementary School,100
Effective Leadership,School has Effective Leadership,New Mission High School,100
Effective Leadership,School has Effective Leadership,Mary Lyon K-8 School,62.5
Effective Leadership,School has Effective Leadership,Muriel S. Snowden International School at Copley,62.5
Effective Leadership,School has Effective Leadership,Margarita Muniz Academy,62.5
Effective Leadership,School has Effective Leadership,Mildred Avenue K-8 School,75
Effective Leadership,School has Effective Leadership,Mario Umana Academy,75
Effective Leadership,School has Effective Leadership,Mattahunt Elementary School,87.5
Effective Leadership,School has Effective Leadership,Nathan Hale Elementary School,87.5
Valuable Curriculum,Rigorous Curriculum,Mel H. King Middle,-
Valuable Curriculum,Rigorous Curriculum,Mel H. King Elementary,-
Valuable Curriculum,Rigorous Curriculum,Mary Lyon Pilot High School,-
Valuable Curriculum,Rigorous Curriculum,Mel H. King South End Academy,-
Valuable Curriculum,Rigorous Curriculum,Lee Academy,-
Valuable Curriculum,Rigorous Curriculum,Mel H. King Prep,-
Valuable Curriculum,Rigorous Curriculum,Madison Park Technical Vocational High School,50
Valuable Curriculum,Rigorous Curriculum,Muriel S. Snowden International School at Copley,50
Valuable Curriculum,Rigorous Curriculum,Mario Umana Academy,50
Valuable Curriculum,Rigorous Curriculum,Maurice J. Tobin K-8 School,62.5
Valuable Curriculum,Rigorous Curriculum,Manassah E. Bradley Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Mather Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Mary Lyon K-8 School,75
Valuable Curriculum,Rigorous Curriculum,Nathan Hale Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Margarita Muniz Academy,75
Valuable Curriculum,Rigorous Curriculum,New Mission High School,75
Valuable Curriculum,Rigorous Curriculum,Mattahunt Elementary School,75
Valuable Curriculum,Rigorous Curriculum,"Martin Luther King, Jr. Elementary School",75
Valuable Curriculum,Rigorous Curriculum,Mildred Avenue K-8 School,75
Valuable Curriculum,Rigorous Curriculum,Michael J. Perkins Elementary School,75
Valuable Curriculum,College and Career Readiness,Mel H. King South End Academy,-
Valuable Curriculum,College and Career Readiness,Mary Lyon Pilot High School,-
Valuable Curriculum,College and Career Readiness,Mel H. King Prep,-
Valuable Curriculum,College and Career Readiness,New Mission High School,50
Valuable Curriculum,College and Career Readiness,Madison Park Technical Vocational High School,50
Valuable Curriculum,College and Career Readiness,Muriel S. Snowden International School at Copley,50
Valuable Curriculum,College and Career Readiness,Margarita Muniz Academy,75
